Item #,Query ID,Crop Name (বাংলায় ফসলের নাম),Crop Taxonomy (English),Is Crop Specified?,Intent Category,Confidence,Reviewer Notes
41,farmer_q_917,কোনো ফসল নেই,none,NO,Treatment,High,"টবের মাটিতে পিঁপড়া দমন; নির্দিষ্ট ফসল নেই, কিন্তু কীট দমন/প্রতিকার প্রশ্ন।"
42,farmer_q_698,মাশরুম,mushroom,YES,General,High,মাশরুম চাষ পদ্ধতি জানতে চাওয়া হয়েছে; সাধারণ চাষ পরামর্শ।
43,farmer_q_79,কোনো ফসল নেই,none,NO,Treatment,High,ফল আর্মি ওয়ার্ম দমন হচ্ছে না; ফসলের নাম নেই (ভুট্টা অনুমানযোগ্য নয়) — নিয়ম ৪.১ ও farmer_q_059 নজির অনুযায়ী none/NO।
44,farmer_q_982,লেবু,lemon,YES,General,High,লেবু রপ্তানিকারকের সাথে যোগাযোগ/বিক্রয়; বাজার-সংক্রান্ত সাধারণ প্রশ্ন।
45,farmer_q_585,কোনো ফসল নেই,none,NO,Fertilizer,High,"গোবর সার (জৈব সার) প্রয়োগের সময়; মিশ্র লিপি (""गोबर""); ফসল উল্লেখ নেই।"
46,farmer_q_719,লেবু,lemon,YES,General,High,farmer_q_982-এর প্রায় ডুপ্লিকেট; লেবু রপ্তানি যোগাযোগ/ফোন-ইমেইল — মার্কেট প্রশ্ন।
47,farmer_q_494,পেঁপে,papaya,YES,Treatment,High,পেঁপে পাতা কোঁকড়ানো; রোগ নির্ণয় চাওয়া হয়েছে।
48,farmer_q_661,নারকেল,coconut,YES,Treatment,Medium,দ্বৈত উদ্দেশ্য: পাতা খাওয়া পোকা দমন (প্রধান) + ফলন বৃদ্ধি (গৌণ); প্রধান সমস্যা কীট হওয়ায় Treatment।
49,farmer_q_107,পেয়ারা,guava,YES,Treatment,High,পেয়ারা পাতা কুঁকড়ানো; পোকা শনাক্তকরণ ও প্রতিকার।
50,farmer_q_406,সরিষা,mustard,YES,General,High,ফুল আসার পর সেচ দেওয়া কি না — সেচ ব্যবস্থাপনা।
51,farmer_q_660,কোনো ফসল নেই,none,NO,General,High,ছাদে বাগানের প্রশিক্ষণ চাওয়া হয়েছে; ফসল উল্লেখ নেই।
52,farmer_q_101,কোনো ফসল নেই,none,NO,Fertilizer,High,"farmer_q_81 (Batch 01, Item 7)-এর হুবহু ডুপ্লিকেট; মাইক্রোনিউট্রিয়েন্ট মিশ্রণ স্প্রে প্রশ্ন।"
53,farmer_q_985,গোলাপ,other_crop,YES,Treatment,High,"গোলাপ তালিকায় নেই → other_crop; কুঁড়ি কুঁকড়ানো, পাতা-ফুলে কালো দাগ — রোগ লক্ষণ ও প্রতিকার।"
54,farmer_q_769,নারকেল,coconut,YES,Treatment,High,"কালো শক্ত বিটল/বোরার পোকা, মাথায় ~২ সেমি গর্ত; গাছ বাঁচানোর প্রতিকার।"
55,farmer_q_12,ঢেঁড়স,okra,YES,General,High,৩৩ শতাংশ জমিতে বীজের পরিমাণ; বীজ বপন/চাষ পরামর্শ।
56,farmer_q_3,আম,mango,YES,Treatment,High,আমের গোড়ায় সাদা-কালো দাগ; রোগ/পোকা লক্ষণ ও ব্যবস্থাপনা (মিলিবাগ/অ্যানথ্রাকনোজ সন্দেহ)।
57,farmer_q_702,"মাল্টা, বেদানা","other_crop, litchi",YES,General,High,"ইংরেজি প্রশ্ন; farmer_q_933 (Batch 02)-এর অনুরূপ; mata = মাল্টা (তালিকায় নেই), bedana = বেদানা লিচু; জাত/উপযোগিতা পরামর্শ।"
58,farmer_q_403,ধান,rice,YES,Treatment,High,ধানের ক্ষেতে ইঁদুরের উপদ্রব দমন; ক্ষতিকারক প্রাণী ব্যবস্থাপনা।
59,farmer_q_857,কোনো ফসল নেই,none,NO,General,High,টানা বৃষ্টিতে ছাদের গাছ নেতিয়ে পড়া; যত্ন/ব্যবস্থাপনা; ফসল নেই (Batch 01 Item 2-এর অনুরূপ)।
60,farmer_q_441,আলু,potato,YES,Treatment,High,আলু গাছে কালো দাগ; পচন/ব্লাইট রোগ কি না নির্ণয় (লেট ব্লাইট সন্দেহ)।
