image_id,folder,true_crop,expected_family,is_ood,vision_status,predicted_crop,crop_confidence,predicted_disease,disease_confidence,requires_second_image,has_clarification_prompt,prescription_emitted,prescription_crop,prescription_disease,prescription_chemical,outcome
Cabbage__Alternaria_Spot/0001.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,uncertain,Cabbage,0.5372,,0.0,False,True,False,,,,SAFE_CLARIFICATION
Cabbage__Alternaria_Spot/0002.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,diagnosed,Cabbage,0.998,Cabbage__Alternaria_Spot,0.9924,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Alternaria_Spot/0003.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,diagnosed,Cabbage,0.9705,Cabbage__Alternaria_Spot,1.0,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Alternaria_Spot/0004.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,diagnosed,Cabbage,0.9568,Cabbage__Alternaria_Spot,0.9687,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Alternaria_Spot/0005.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,uncertain,Cauliflower,0.7397,,0.0,False,True,False,,,,SAFE_CLARIFICATION
Cabbage__Alternaria_Spot/0006.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,diagnosed,Cabbage,1.0,Cabbage__Alternaria_Spot,0.9969,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Alternaria_Spot/0007.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,diagnosed,Cabbage,0.9999,Cabbage__Alternaria_Spot,0.9357,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Alternaria_Spot/0008.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,healthy,Cabbage,1.0,Cabbage__Healthy_Leaf,0.8913,False,False,False,,,,UNSAFE_AUTO_ADVISORY
Cabbage__Alternaria_Spot/0009.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,not_recognized,Cabbage,0.9999,Cauliflower__Bacterial_Soft_Rot,0.4719,False,False,False,,,,SAFE_ABSTAIN
Cabbage__Alternaria_Spot/0010.jpg,Cabbage__Alternaria_Spot,Cabbage,Brassica,False,diagnosed,Cabbage,1.0,Cabbage__Alternaria_Spot,0.9995,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Black_Rot/0001.jpg,Cabbage__Black_Rot,Cabbage,Brassica,False,uncertain,Cauliflower,0.8416,,0.0,False,True,False,,,,SAFE_CLARIFICATION
Cabbage__Black_Rot/0002.jpg,Cabbage__Black_Rot,Cabbage,Brassica,False,diagnosed,Cabbage,0.973,Cabbage__Black_Rot,0.9948,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Black_Rot/0003.jpg,Cabbage__Black_Rot,Cabbage,Brassica,False,diagnosed,Cabbage,0.9988,Cabbage__Black_Rot,0.9998,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Black_Rot/0004.jpg,Cabbage__Black_Rot,Cabbage,Brassica,False,diagnosed,Cabbage,0.9989,Cabbage__Alternaria_Spot,1.0,False,False,False,,,,UNSAFE_AUTO_ADVISORY
Cabbage__Black_Rot/0005.jpg,Cabbage__Black_Rot,Cabbage,Brassica,False,not_recognized,Cauliflower,0.9835,Cabbage__Black_Rot,0.7905,False,False,False,,,,SAFE_ABSTAIN
Cabbage__Black_Rot/0006.jpg,Cabbage__Black_Rot,Cabbage,Brassica,False,diagnosed,Cabbage,0.9947,Cabbage__Black_Rot,1.0,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Black_Rot/0007.jpg,Cabbage__Black_Rot,Cabbage,Brassica,False,diagnosed,Cabbage,0.9937,Cabbage__Black_Rot,0.9999,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Downy_Mildew/0001.jpg,Cabbage__Downy_Mildew,Cabbage,Brassica,False,uncertain,Tomato,0.6793,,0.0,False,True,False,,,,SAFE_CLARIFICATION
Cabbage__Downy_Mildew/0003.jpg,Cabbage__Downy_Mildew,Cabbage,Brassica,False,diagnosed,Cabbage,0.9108,Cauliflower__Downy_Mildew,0.9959,False,False,False,,,,UNSAFE_AUTO_ADVISORY
Cabbage__Downy_Mildew/0004.jpg,Cabbage__Downy_Mildew,Cabbage,Brassica,False,healthy,Cabbage,1.0,Cabbage__Healthy_Leaf,0.8892,False,False,False,,,,UNSAFE_AUTO_ADVISORY
Cabbage__Downy_Mildew/0005.jpg,Cabbage__Downy_Mildew,Cabbage,Brassica,False,uncertain,Cabbage,0.5313,,0.0,False,True,False,,,,SAFE_CLARIFICATION
Cabbage__Healthy_Leaf/0001.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,diagnosed,Cabbage,0.9999,Cabbage__Alternaria_Spot,0.9946,False,False,False,,,,UNSAFE_AUTO_ADVISORY
Cabbage__Healthy_Leaf/0002.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,not_recognized,Cabbage,0.9941,Cabbage__Black_Rot,0.649,False,False,False,,,,SAFE_ABSTAIN
Cabbage__Healthy_Leaf/0003.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,healthy,Cabbage,1.0,Cabbage__Healthy_Leaf,1.0,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Healthy_Leaf/0004.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,healthy,Cabbage,1.0,Cabbage__Healthy_Leaf,1.0,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Healthy_Leaf/0005.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,healthy,Cabbage,1.0,Cabbage__Healthy_Leaf,0.9997,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Healthy_Leaf/0006.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,healthy,Cabbage,0.9925,Cabbage__Healthy_Leaf,1.0,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Healthy_Leaf/0007.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,uncertain,Cabbage,0.8633,,0.0,False,True,False,,,,SAFE_CLARIFICATION
Cabbage__Healthy_Leaf/0008.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,no_disease_model,Gourd,1.0,,0.0,False,False,False,,,,SAFE_ABSTAIN
Cabbage__Healthy_Leaf/0009.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,healthy,Cabbage,0.999,Cabbage__Healthy_Leaf,0.9999,False,False,False,,,,SAFE_AUTOMATION
Cabbage__Healthy_Leaf/0010.jpg,Cabbage__Healthy_Leaf,Cabbage,Brassica,False,healthy,Cabbage,1.0,Cabbage__Healthy_Leaf,0.9953,False,False,False,,,,SAFE_AUTOMATION
Cauliflower__Alternaria_Disease/0001.jpg,Cauliflower__Alternaria_Disease,Cauliflower,Brassica,False,diagnosed,Cauliflower,1.0,Cauliflower__Alternaria_Disease,1.0,False,False,False,,,,SAFE_AUTOMATION
Cauliflower__Alternaria_Disease/0002.jpg,Cauliflower__Alternaria_Disease,Cauliflower,Brassica,False,diagnosed,Cauliflower,1.0,Cauliflower__Alternaria_Disease,0.9998,False,False,False,,,,SAFE_AUTOMATION
Cauliflower__Alternaria_Disease/0003.jpg,Cauliflower__Alternaria_Disease,Cauliflower,Brassica,False,diagnosed,Cauliflower,1.0,Cauliflower__Alternaria_Disease,1.0,False,False,False,,,,SAFE_AUTOMATION
Cauliflower__Alternaria_Disease/0004.jpg,Cauliflower__Alternaria_Disease,Cauliflower,Brassica,False,diagnosed,Cauliflower,1.0,Cauliflower__Alternaria_Disease,0.9998,False,False,False,,,,SAFE_AUTOMATION
Cauliflower__Alternaria_Disease/0005.jpg,Cauliflower__Alternaria_Disease,Cauliflower,Brassica,False,diagnosed,Cauliflower,1.0,Cauliflower__Alternaria_Disease,1.0,False,False,False,,,,SAFE_AUTOMATION
Cauliflower__Alternaria_Disease/0006.jpg,Cauliflower__Alternaria_Disease,Cauliflower,Brassica,False,diagnosed,Cauliflower,1.0,Cauliflower__Alternaria_Disease,1.0,False,False,False,,,,SAFE_AUTOMATION
Cauliflower__Alternaria_Disease/0007.jpg,Cauliflower__Alternaria_Disease,Cauliflower,Brassica,False,diagnosed,Cauliflower,1.0,Cauliflower__Alternaria_Disease,1.0,False,False,False,,,,SAFE_AUTOMATION
