item_no,query_id,crop,regime,query_bn,query_en,response_bn,response_en,rating,confidence,notes
1,audit_q_01,Potato (আলু),Grounded Advisory (Fenced RAG),আলুর জমিতে লেট ব্লাইট বা মড়ক রোগ থেকে বাঁচার জন্য কি স্প্রে করব?,What should I spray to protect my potato field from late blight disease?,আলুর নাবি ধসা (লেট ব্লাইট) দমনে ডাইমেথোমর্ফ + ম্যানকোজেব (যেমন এক্রোবেট এমজেড) প্রতি লিটার পানিতে ২ গ্রাম হারে মিশিয়ে ৭-১০ দিন পর পর স্প্রে করুন। কুয়াশাচ্ছন্ন আবহাওয়ায় আগাম স্প্রে জরুরি। ফসল তোলার ১৪ দিন আগে স্প্রে বন্ধ রাখুন।,"To control late blight in potato, mix Dimethomorph + Mancozeb (e.g., Acrobat MZ) at 2 g/L of water and spray every 7-10 days. Preemptive spray is vital in foggy weather. Observe a 14-day pre-harvest interval.",,,
2,audit_q_02,Rice (ধান),Grounded Advisory (Fenced RAG),ধানের মাজরা পোকা দমনের জন্য কোন কীটনাশক সবচেয়ে ভালো?,Which insecticide is best for controlling stem borer in rice?,ধানের মাজরা পোকা দমনে ক্লোরানট্রানিলিপ্রোল (যেমন ফার্টেরা ০.৪ জিআর) প্রতি বিঘায় ১ কেজি হারে জমিতে ছিটিয়ে দিন অথবা তরল ক্লোরপাইরিফস ২০ ইসি প্রতি লিটার পানিতে ২ মিলি মিশিয়ে স্প্রে করুন। জমিতে ছিটানোর সময় ছিপছিপে পানি রাখুন।,"To control rice stem borer, apply Chlorantraniliprole (e.g. Ferterra 0.4 GR) at 1 kg/bigha broadcast or spray Chlorpyrifos 20 EC at 2 ml/L of water. Maintain shallow standing water during application.",,,
3,audit_q_03,Wheat (গম),Grounded Advisory (Fenced RAG),গমের পাতার মরিচা (রাস্ট) রোগের লক্ষণ দেখা দিলে কী ব্যবস্থা নেব?,What measures should I take if symptoms of wheat leaf rust appear?,গমের মরিচা রোগ দেখা দিলে প্রোপিকোনাজোল ২৫ ইসি (যেমন টিল্ট ২৫০ ইসি) প্রতি লিটার পানিতে ০.৫ মিলি বা হেক্সাকোনাজোল ১ মিলি হারে মিশিয়ে ১০-১২ দিন ব্যবধানে দুইবার স্প্রে করুন।,"If wheat rust appears, spray Propiconazole 25 EC (e.g. Tilt 250 EC) at 0.5 ml/L of water or Hexaconazole at 1 ml/L twice at a 10-12 day interval.",,,
4,audit_q_04,Chilli (মরিচ),Grounded Advisory (Fenced RAG),"মরিচ গাছের পাতা কুঁকড়ে যাচ্ছে, পোকা দেখা যাচ্ছে না, কি করতে পারি?","My chilli leaves are curling, no insects are visible, what can I do?",মরিচের পাতা কুঁকড়ানো সাধারণত থ্রিপস বা মাইট (মাকড়)-এর আক্রমণের লক্ষণ। মাকড় দমনে এবামেকটিন ১.২ ইসি (যেমন ভার্টিমেক) প্রতি লিটার পানিতে ১ মিলি অথবা ইমিডাক্লোপ্রিড প্রতি ৫ লিটার পানিতে ১ মিলি হারে পাতার নিচের পিঠে ভালোভাবে স্প্রে করুন।,"Leaf curling in chilli is typically caused by thrips or yellow mites. For mites, spray Abamectin 1.2 EC (e.g. Vertimec) at 1 ml/L of water or Imidacloprid at 1 ml per 5 L of water, covering the leaf undersides thoroughly.",,,
5,audit_q_05,Tomato (টমেটো),Grounded Advisory (Fenced RAG),টমেটো পচা বা আর্লি ব্লাইট প্রতিরোধে কোন ছত্রাকনাশক ব্যবহার করব?,Which fungicide should I use to prevent tomato rot or early blight?,টমেটোর আগাম ধসা (আর্লি ব্লাইট) দমনে মেনকোজেব (ডাইথেন এম-৪৫) প্রতি লিটার পানিতে ২ গ্রাম অথবা অ্যাজোক্সিস্ট্রবিন প্রতি লিটার পানিতে ১ মিলি হারে মিশিয়ে ৭-১০ দিন পর পর স্প্রে করুন।,"To manage tomato early blight, mix Mancozeb (Dithane M-45) at 2 g/L of water or Azoxystrobin at 1 ml/L and spray every 7-10 days.",,,
6,audit_q_06,Brinjal (বেগুন),Grounded Advisory (Fenced RAG),বেগুনের ডগা ও ফল ছিদ্রকারী পোকা নিধনে কি বিষ দিব?,What poison should I use to kill eggplant shoot and fruit borer?,বেগুনের ডগা ও ফল ছিদ্রকারী পোকা দমনে রাসায়নিক বিষের চেয়ে ফেরোমোন ফাঁদ ব্যবহার সবচেয়ে নিরাপদ। আক্রমণ বেশি হলে স্পাইনোস্যাড ৪৫ এসসি (যেমন ট্রেসার) প্রতি লিটার পানিতে ০.৪ মিলি অথবা ইমাবেন (এমামেকটিন বেনজোয়েট) প্রতি লিটার পানিতে ১ গ্রাম হারে স্প্রে করুন। আক্রান্ত ডগা কেটে মাটিতে পুঁতে ফেলুন।,"For brinjal shoot and fruit borer, sex pheromone traps are the safest primary control. For heavy infestations, spray Spinosad 45 SC (e.g. Tracer) at 0.4 ml/L or Emamectin Benzoate at 1 g/L. Mechanically prune and bury infested shoots.",,,
7,audit_q_07,Rice (ধান),Grounded Advisory (Fenced RAG),"ধান গাছের পাতা হলুদ হয়ে শুকিয়ে যাচ্ছে, গোড়া পচেনি, কি করব?","Rice leaves are turning yellow and drying up, base is not rotten, what to do?","পাতার হলুদ হওয়া যদি আগা থেকে শুরু হয়ে তীরের ফলার মতো নামে, তবে তা নাইট্রোজেনের ঘাটতি হতে পারে; এক্ষেত্রে ইউরিয়া সার কিস্তিতে উপরিপ্রয়োগ করুন। যদি বাদামি রঙের দাগ থাকে, তবে ক্যাসুগামাইসিন বা কার্বেনডাজিম প্রতি লিটার পানিতে ১ গ্রাম হারে স্প্রে করুন।","If yellowing begins at the tip and progresses inward in a V-shape, it may indicate nitrogen deficiency; apply top-dressed urea in splits. If brown lesions are present, spray Kasugamycin or Carbendazim at 1 g/L of water.",,,
8,audit_q_08,Mustard (সরিষা),Grounded Advisory (Fenced RAG),সরিষার জাব পোকা দমনে কী স্প্রে করব?,What should I spray to control mustard aphid?,"সরিষার জাব পোকা দমনে ম্যালাথিয়ন ৫৭ ইসি প্রতি লিটার পানিতে ২ মিলি অথবা ইমিডাক্লোপ্রিড প্রতি ৫ লিটার পানিতে ১ মিলি হারে মিশিয়ে শেষ বিকেলে স্প্রে করুন, যাতে পরাগায়নকারী মৌমাছির ক্ষতি না হয়।","To control mustard aphids, spray Malathion 57 EC at 2 ml/L or Imidacloprid at 1 ml per 5 L of water late in the afternoon to avoid harming pollinating honeybees.",,,
9,audit_q_09,Corn (ভুট্টা),Grounded Advisory (Fenced RAG),"ভুট্টার পাতা ঝলসানো রোগ হয়েছে, কি ছত্রাকনাশক দিব?","Corn has leaf blight disease, what fungicide should I give?",ভুট্টার পাতা ঝলসানো (টারসিকাম ব্লাইট) দমনে ডাইফেনোকোনাজোল + অ্যাজোক্সিস্ট্রবিন (যেমন এমিটার টপ) প্রতি লিটার পানিতে ১ মিলি অথবা ম্যানকোজেব ২ গ্রাম হারে মিশিয়ে ১০-১২ দিন পর পর ২ বার স্প্রে করুন।,"For corn leaf blight (Turcicum), spray Difenoconazole + Azoxystrobin (e.g. Amistar Top) at 1 ml/L or Mancozeb at 2 g/L twice at 10-12 day intervals.",,,
10,audit_q_10,Potato (আলু),Grounded Advisory (Fenced RAG),আলু গাছের গোড়া পচা এবং পাতা ঢলে পড়ার ওষুধ কি?,What is the medicine for potato root rot and leaf wilting?,আলুর গোড়া পচা বা ব্যাক্টেরিয়াল উইল্ট দমনে জমিতে অতিরিক্ত পানি নিষ্কাশন নিশ্চিত করুন। আক্রমণ দেখা দিলে কপার হাইড্রোক্সাইড (যেমন কুপ্রোক্সাট) প্রতি লিটার পানিতে ২ গ্রাম হারে গাছের গোড়ায় ভালোভাবে ভিজিয়ে স্প্রে করুন। আক্রান্ত গাছ তুলে ধ্বংস করুন।,"For potato bacterial wilt and collar rot, ensure proper field drainage. Drench the plant base with Copper Hydroxide (e.g. Cuproxat) at 2 g/L of water. Uproot and destroy severely infected plants.",,,
