image_id,true_crop,predicted_crop,crop_confidence,crop_margin,true_disease,predicted_disease,disease_confidence,farmer_text_available,image_quality,failure_category,root_cause_explanation,recoverable_with_confirmation,recovery_mechanism
Cabbage__Alternaria_Spot/0008.jpg,Cabbage,Brassica,0.9764,0.9576,Cabbage__Alternaria_Spot,Cabbage__Healthy_Leaf,0.8913,False,Good (Passed intake variance/brightness),E_OTHER_VISUAL_AMBIGUITY,Visual similarity between distinct foliage types,True,Farmer Confirmation Gate
Cabbage__Black_Rot/0004.jpg,Cabbage,Brassica,0.9981,0.9963,Cabbage__Black_Rot,Cabbage__Alternaria_Spot,1.0,False,Good (Passed intake variance/brightness),E_OTHER_VISUAL_AMBIGUITY,Visual similarity between distinct foliage types,True,Farmer Confirmation Gate
Cabbage__Downy_Mildew/0004.jpg,Cabbage,Brassica,0.9979,0.9965,Cabbage__Downy_Mildew,Cabbage__Healthy_Leaf,0.8892,False,Good (Passed intake variance/brightness),E_OTHER_VISUAL_AMBIGUITY,Visual similarity between distinct foliage types,True,Farmer Confirmation Gate
Cauliflower__Downy_Mildew/0010.jpg,Cauliflower,Brassica,0.9969,0.995,Cauliflower__Downy_Mildew,Cauliflower__Healthy,0.8067,False,Good (Passed intake variance/brightness),E_OTHER_VISUAL_AMBIGUITY,Visual similarity between distinct foliage types,True,Farmer Confirmation Gate
Potato__Early_Blight/0009.jpg,Potato,Potato,0.998,0.9966,Potato__Early_Blight,Potato__Late_Blight,0.9997,False,Good (Passed intake variance/brightness),D_INTRA_CROP_DISEASE_CONFUSION,Similar early-stage fungal lesion pattern between Early Blight and Late Blight,True,Second-Image Close-Up Gate
Potato__Healthy_Leaf/0007.jpg,Potato,Potato,1.0,1.0,Potato__Healthy_Leaf,Potato__Late_Blight,0.9897,False,Good (Passed intake variance/brightness),D_INTRA_CROP_DISEASE_CONFUSION,Similar early-stage fungal lesion pattern between Early Blight and Late Blight,True,Second-Image Close-Up Gate
Potato__Late_Blight/0001.jpg,Potato,Potato,0.9807,0.9643,Potato__Late_Blight,Potato__Early_Blight,0.9764,False,Good (Passed intake variance/brightness),D_INTRA_CROP_DISEASE_CONFUSION,Similar early-stage fungal lesion pattern between Early Blight and Late Blight,True,Second-Image Close-Up Gate
Rice__Bacterial_Leaf_Blight/0001.jpg,Rice,Wheat,1.0,1.0,Rice__Bacterial_Leaf_Blight,Stripe Rust,0.9724,False,Good (Passed intake variance/brightness),B_POACEAE_MONOCOT_CONFUSION,6-crop classifier lacks Rice class; model routes rice leaf to sister poaceae (Corn/Wheat),True,Farmer Confirmation Gate (Chip: [ ধান ] vs [ ভুট্টা / গম ])
Rice__Bacterial_Leaf_Blight/0002.jpg,Rice,Wheat,0.9998,0.9996,Rice__Bacterial_Leaf_Blight,Stripe Rust,0.9994,False,Good (Passed intake variance/brightness),B_POACEAE_MONOCOT_CONFUSION,6-crop classifier lacks Rice class; model routes rice leaf to sister poaceae (Corn/Wheat),True,Farmer Confirmation Gate (Chip: [ ধান ] vs [ ভুট্টা / গম ])
Rice__Bacterial_Leaf_Blight/0007.jpg,Rice,Wheat,0.9995,0.999,Rice__Bacterial_Leaf_Blight,Stripe Rust,0.9994,False,Good (Passed intake variance/brightness),B_POACEAE_MONOCOT_CONFUSION,6-crop classifier lacks Rice class; model routes rice leaf to sister poaceae (Corn/Wheat),True,Farmer Confirmation Gate (Chip: [ ধান ] vs [ ভুট্টা / গম ])
Rice__Bacterial_Leaf_Blight/0009.jpg,Rice,Wheat,0.9997,0.9994,Rice__Bacterial_Leaf_Blight,Stripe Rust,0.9964,False,Good (Passed intake variance/brightness),B_POACEAE_MONOCOT_CONFUSION,6-crop classifier lacks Rice class; model routes rice leaf to sister poaceae (Corn/Wheat),True,Farmer Confirmation Gate (Chip: [ ধান ] vs [ ভুট্টা / গম ])
Rice__Brown_Spot/0010.jpg,Rice,Rice,0.9864,0.9998,Rice__Brown_Spot,Rice__Leaf_Scald,0.9864,False,Good (Passed intake variance/brightness),E_OTHER_VISUAL_AMBIGUITY,Visual similarity between distinct foliage types,True,Farmer Confirmation Gate
Rice__Leaf_Blast/0008.jpg,Rice,Wheat,0.962,0.924,Rice__Leaf_Blast,Stripe Rust,0.859,False,Good (Passed intake variance/brightness),B_POACEAE_MONOCOT_CONFUSION,6-crop classifier lacks Rice class; model routes rice leaf to sister poaceae (Corn/Wheat),True,Farmer Confirmation Gate (Chip: [ ধান ] vs [ ভুট্টা / গম ])
Rice__Leaf_Scald/0009.jpg,Rice,Rice,1.0,0.9988,Rice__Leaf_Scald,Rice__Narrow_Brown_Leaf_Spot,1.0,False,Good (Passed intake variance/brightness),E_OTHER_VISUAL_AMBIGUITY,Visual similarity between distinct foliage types,True,Farmer Confirmation Gate
Rice__Rice_Hispa/0007.jpg,Rice,Corn,0.9989,0.9978,Rice__Rice_Hispa,Gray_Leaf_Spot,0.9916,False,Good (Passed intake variance/brightness),B_POACEAE_MONOCOT_CONFUSION,6-crop classifier lacks Rice class; model routes rice leaf to sister poaceae (Corn/Wheat),True,Farmer Confirmation Gate (Chip: [ ধান ] vs [ ভুট্টা / গম ])
Rice__Sheath_Blight/0003.jpg,Rice,Wheat,0.9998,0.9997,Rice__Sheath_Blight,Leaf Rust,0.972,False,Good (Passed intake variance/brightness),B_POACEAE_MONOCOT_CONFUSION,6-crop classifier lacks Rice class; model routes rice leaf to sister poaceae (Corn/Wheat),True,Farmer Confirmation Gate (Chip: [ ধান ] vs [ ভুট্টা / গম ])
Tomato__Bacterial_Spot/0002.jpg,Tomato,Potato,0.965,0.93,Tomato__Bacterial_Spot,Potato__Early_Blight,0.9833,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Bacterial_Spot/0008.jpg,Tomato,Potato,1.0,1.0,Tomato__Bacterial_Spot,Potato__Early_Blight,1.0,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Bacterial_Spot/0010.jpg,Tomato,Potato,0.9995,0.9991,Tomato__Bacterial_Spot,Potato__Late_Blight,0.8825,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Early_Blight/0003.jpg,Tomato,Potato,1.0,1.0,Tomato__Early_Blight,Potato__Early_Blight,0.981,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Early_Blight/0008.jpg,Tomato,Potato,1.0,1.0,Tomato__Early_Blight,Potato__Early_Blight,0.9929,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Early_Blight/0010.jpg,Tomato,Potato,0.9999,0.9998,Tomato__Early_Blight,Potato__Early_Blight,0.8992,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Healthy_Leaf/0004.jpg,Tomato,Wheat,0.9994,0.9988,Tomato__Healthy_Leaf,Healthy,0.9999,False,Good (Passed intake variance/brightness),E_OTHER_VISUAL_AMBIGUITY,Visual similarity between distinct foliage types,True,Farmer Confirmation Gate
Tomato__Healthy_Leaf/0006.jpg,Tomato,Potato,0.9747,0.9547,Tomato__Healthy_Leaf,Potato__Early_Blight,0.9184,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Healthy_Leaf/0008.jpg,Tomato,Potato,0.9999,0.9998,Tomato__Healthy_Leaf,Potato__Late_Blight,0.9996,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Late_Blight/0004.jpg,Tomato,Potato,1.0,1.0,Tomato__Late_Blight,Potato__Late_Blight,0.9757,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Late_Blight/0008.jpg,Tomato,Potato,0.9981,0.9965,Tomato__Late_Blight,Potato__Late_Blight,0.9997,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Late_Blight/0009.jpg,Tomato,Potato,0.9919,0.9839,Tomato__Late_Blight,Potato__Late_Blight,0.9857,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Mosaic_Virus/0002.jpg,Tomato,Potato,0.9608,0.9253,Tomato__Mosaic_Virus,Potato__Late_Blight,0.9999,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Mosaic_Virus/0003.jpg,Tomato,Potato,0.9975,0.9951,Tomato__Mosaic_Virus,Potato__Late_Blight,0.9926,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
Tomato__Mosaic_Virus/0006.jpg,Tomato,Potato,0.9717,0.9436,Tomato__Mosaic_Virus,Potato__Late_Blight,0.9923,False,Good (Passed intake variance/brightness),A_CROSS_SPECIES_SOLANACEAE_CONFUSION,Solanaceae family botanical leaf morphology overlap; model confuses tomato/eggplant foliage with potato,True,Farmer Confirmation Gate (Chip: [ টমেটো ] vs [ আলু ])
