case_num,image_id,true_crop,pred_crop,crop_conf,crop_margin,true_disease,pred_disease,disease_conf,disease_margin,failure_type,why_wrong,harm_type,hypothesized_recovery
1,Cabbage__Alternaria_Spot/0008.jpg,Cabbage,Brassica,0.9764,0.9576,Cabbage__Alternaria_Spot,Cabbage__Healthy_Leaf,0.8913,0.8347,HEALTHY_FALSE_POSITIVE,Early-stage or mild chlorotic/necrotic spot misclassified as healthy due to wide-angle leaf area dominance,Crop Loss via Delayed Treatment (Farmer told leaf is healthy; disease spreads untreated),Second-Image Under-Leaf Close-Up (Magnified view of spot texture/hyphae)
2,Cabbage__Black_Rot/0004.jpg,Cabbage,Brassica,0.9981,0.9963,Cabbage__Black_Rot,Cabbage__Alternaria_Spot,1.0,1.0,INTRA_CROP_MISDIAGNOSIS,"Correct crop (Cabbage), but misidentified Black_Rot as Alternaria_Spot (phenotypic foliar lesion similarity)",Ineffective Suboptimal Spray (Pesticide target mismatch within same crop catalog),Second-Image Under-Leaf Close-Up + Symptom Checklist
3,Cabbage__Downy_Mildew/0004.jpg,Cabbage,Brassica,0.9979,0.9965,Cabbage__Downy_Mildew,Cabbage__Healthy_Leaf,0.8892,0.7786,HEALTHY_FALSE_POSITIVE,Early-stage or mild chlorotic/necrotic spot misclassified as healthy due to wide-angle leaf area dominance,Crop Loss via Delayed Treatment (Farmer told leaf is healthy; disease spreads untreated),Second-Image Under-Leaf Close-Up (Magnified view of spot texture/hyphae)
4,Cauliflower__Downy_Mildew/0010.jpg,Cauliflower,Brassica,0.9969,0.995,Cauliflower__Downy_Mildew,Cauliflower__Healthy,0.8067,0.6227,HEALTHY_FALSE_POSITIVE,Early-stage or mild chlorotic/necrotic spot misclassified as healthy due to wide-angle leaf area dominance,Crop Loss via Delayed Treatment (Farmer told leaf is healthy; disease spreads untreated),Second-Image Under-Leaf Close-Up (Magnified view of spot texture/hyphae)
5,Potato__Early_Blight/0009.jpg,Potato,Potato,0.998,0.9966,Potato__Early_Blight,Potato__Late_Blight,0.9997,0.9995,INTRA_CROP_MISDIAGNOSIS,"Correct crop (Potato), but misidentified Early_Blight as Late_Blight (phenotypic foliar lesion similarity)",Ineffective Suboptimal Spray (Pesticide target mismatch within same crop catalog),Second-Image Under-Leaf Close-Up + Symptom Checklist
6,Potato__Late_Blight/0001.jpg,Potato,Potato,0.9807,0.9643,Potato__Late_Blight,Potato__Early_Blight,0.9764,0.9528,INTRA_CROP_MISDIAGNOSIS,"Correct crop (Potato), but misidentified Late_Blight as Early_Blight (phenotypic foliar lesion similarity)",Ineffective Suboptimal Spray (Pesticide target mismatch within same crop catalog),Second-Image Under-Leaf Close-Up + Symptom Checklist
7,Tomato__Early_Blight/0003.jpg,Tomato,Potato,1.0,1.0,Tomato__Early_Blight,Potato__Early_Blight,0.981,0.962,CROSS_CROP_RESIDUAL,Model classified Tomato as Potato (extreme high confidence outlier without top2 confusion co-occurrence),Cross-Crop Chemical Mismatch (Risk of non-registered pesticide),Farmer Confirmation Gate (Forcing confirmation on all single-crop non-monoculture uploads)
8,Tomato__Early_Blight/0008.jpg,Tomato,Potato,1.0,1.0,Tomato__Early_Blight,Potato__Early_Blight,0.9929,0.9858,CROSS_CROP_RESIDUAL,Model classified Tomato as Potato (extreme high confidence outlier without top2 confusion co-occurrence),Cross-Crop Chemical Mismatch (Risk of non-registered pesticide),Farmer Confirmation Gate (Forcing confirmation on all single-crop non-monoculture uploads)
9,Tomato__Early_Blight/0010.jpg,Tomato,Potato,0.9999,0.9998,Tomato__Early_Blight,Potato__Early_Blight,0.8992,0.7984,CROSS_CROP_RESIDUAL,Model classified Tomato as Potato (extreme high confidence outlier without top2 confusion co-occurrence),Cross-Crop Chemical Mismatch (Risk of non-registered pesticide),Farmer Confirmation Gate (Forcing confirmation on all single-crop non-monoculture uploads)
10,Tomato__Healthy_Leaf/0004.jpg,Tomato,Wheat,0.9994,0.9988,Tomato__Healthy_Leaf,Healthy,0.9999,0.9998,CROSS_CROP_RESIDUAL,Model classified Tomato as Wheat (extreme high confidence outlier without top2 confusion co-occurrence),Cross-Crop Chemical Mismatch (Risk of non-registered pesticide),Farmer Confirmation Gate (Forcing confirmation on all single-crop non-monoculture uploads)
11,Tomato__Healthy_Leaf/0008.jpg,Tomato,Potato,0.9999,0.9998,Tomato__Healthy_Leaf,Potato__Late_Blight,0.9996,0.9993,CROSS_CROP_RESIDUAL,Model classified Tomato as Potato (extreme high confidence outlier without top2 confusion co-occurrence),Cross-Crop Chemical Mismatch (Risk of non-registered pesticide),Farmer Confirmation Gate (Forcing confirmation on all single-crop non-monoculture uploads)
